trip_id,taxi_id,start_latitude,start_longitude,end_latitude,end_longitude,distance_km
1404034385620000904,20000904,41.1455,-8.60742,41.1455,-8.60742,0.0
1400178738620000226,20000226,41.1446,-8.60652,41.1446,-8.60652,0.0
1400299597620000616,20000616,41.1478,-8.61004,41.1478,-8.61004,0.0
1400391940620000492,20000492,41.147,-8.60701,41.147,-8.60701,0.0
1400494638620000188,20000188,41.1447,-8.60647,41.1447,-8.60647,0.0
1400576225620000525,20000525,41.1539,-8.56693,41.1539,-8.56693,0.0
1400585498620000235,20000235,41.1499,-8.6719,41.1499,-8.6719,0.0
1400673558620000434,20000434,41.1446,-8.60659,41.1446,-8.60659,0.0
1400923157620000079,20000079,41.148,-8.60913,41.148,-8.60913,0.0
1400931586620000577,20000577,41.1742,-8.60864,41.1742,-8.60864,0.0
1401118088620000066,20000066,41.1487,-8.58599,41.1487,-8.58599,0.0
1401193204620000021,20000021,41.1817,-8.60123,41.1817,-8.60123,0.0
1401200062620000242,20000242,41.164,-8.61359,41.164,-8.61359,0.0
1401456410620000066,20000066,41.1663,-8.54652,41.1663,-8.54652,0.0
1401471409620000142,20000142,41.1406,-8.61552,41.1406,-8.61552,0.0
1401736291620000388,20000388,41.1823,-8.67046,41.1823,-8.67046,0.0
1402158583620000148,20000148,41.1462,-8.61757,41.1462,-8.61757,0.0
1402270838620000153,20000153,41.1693,-8.60567,41.1693,-8.60567,0.0
1402370143620000066,20000066,41.2637,-8.56467,41.2637,-8.56467,0.0
1402575815620000328,20000328,41.1645,-8.64291,41.1645,-8.64291,0.0
1402682991620000565,20000565,41.1544,-8.61327,41.1544,-8.61327,0.0
1403272886620000540,20000540,41.1447,-8.60648,41.1447,-8.60648,0.0
1403376374620000216,20000216,41.1438,-8.62183,41.1438,-8.62183,0.0
1403586673620000657,20000657,41.1493,-8.59945,41.1493,-8.59945,0.0
1403614703620000129,20000129,41.1946,-8.57763,41.1946,-8.57763,0.0
1403788172620000066,20000066,41.1642,-8.58894,41.1642,-8.58894,0.0
1387024741620000178,20000178,41.167,-8.62677,41.167,-8.62677,0.0
1387204068620000585,20000585,41.177,-8.6104,41.177,-8.6104,0.0
1387568087620000517,20000517,41.1622,-8.58856,41.1622,-8.58856,0.0
1387688563620000436,20000436,41.1473,-8.60796,41.1473,-8.60796,0.0
1387736933620000500,20000500,41.149,-8.58579,41.149,-8.58579,0.0
1387890764620000011,20000011,41.1674,-8.65238,41.1674,-8.65238,0.0
1388071575620000436,20000436,41.1558,-8.6637,41.1558,-8.6637,0.0
1388298055620000578,20000578,41.1468,-8.60569,41.1468,-8.60569,0.0
1388422686620000198,20000198,41.1604,-8.60962,41.1604,-8.60962,0.0
1388564731620000142,20000142,41.1406,-8.61568,41.1406,-8.61568,0.0
1388942681620000658,20000658,41.1659,-8.57486,41.1659,-8.57486,0.0
1389011232620000272,20000272,41.2382,-8.66576,41.2382,-8.66576,0.0
1389204164620000307,20000307,41.1656,-8.62952,41.1656,-8.62952,0.0
1389364234620000186,20000186,41.1686,-8.61335,41.1686,-8.61335,0.0
1389518602620000508,20000508,41.1662,-8.68587,41.1662,-8.68587,0.0
1389790258620000304,20000304,41.1406,-8.61567,41.1406,-8.61567,0.0
1389809119620000307,20000307,41.1443,-8.60562,41.1443,-8.60562,0.0
1389871474620000271,20000271,41.1477,-8.60868,41.1477,-8.60868,0.0
1389871577620000080,20000080,41.1663,-8.67955,41.1663,-8.67955,0.0
1389945935620000216,20000216,41.1754,-8.62774,41.1754,-8.62774,0.0
1389975995620000198,20000198,41.166,-8.57008,41.166,-8.57008,0.0
1390286206620000540,20000540,41.1493,-8.59945,41.1493,-8.59945,0.0
1390328266620000086,20000086,41.1902,-8.63279,41.1902,-8.63279,0.0
1390560889620000554,20000554,41.1504,-8.62097,41.1504,-8.62097,0.0
1390657991620000540,20000540,41.1166,-8.50962,41.1166,-8.50962,0.0
1390706627620000688,20000688,41.1627,-8.5913,41.1627,-8.5913,0.0
1390901822620000120,20000120,41.1643,-8.64295,41.1643,-8.64295,0.0
1391063415620000424,20000424,41.1657,-8.66465,41.1657,-8.66465,0.0
1391230743620000288,20000288,41.1468,-8.60586,41.1468,-8.60586,0.0
1373276215620000680,20000680,41.1456,-8.61092,41.1456,-8.61092,0.0
1373399077620000015,20000015,41.1485,-8.58595,41.1485,-8.58595,0.0
1373706515620000901,20000901,41.162,-8.58788,41.162,-8.58788,0.0
1374258188620000517,20000517,41.1483,-8.58567,41.1483,-8.58567,0.0
1374386918620000269,20000269,41.1567,-8.62146,41.1567,-8.62146,0.0
1374602787620000400,20000400,41.1801,-8.65106,41.1801,-8.65106,0.0
1374602859620000400,20000400,41.1801,-8.65106,41.1801,-8.65106,0.0
1374658518620000904,20000904,41.1468,-8.60382,41.1468,-8.60382,0.0
1374697205620000256,20000256,41.161,-8.61674,41.161,-8.61674,0.0
1374747783620000224,20000224,41.1459,-8.61314,41.1459,-8.61314,0.0
1374894792620000054,20000054,41.1471,-8.61625,41.1471,-8.61625,0.0
1375563060620000304,20000304,41.1435,-8.61122,41.1435,-8.61122,0.0
1375639900620000239,20000239,41.1408,-8.60986,41.1408,-8.60986,0.0
1376450518620000403,20000403,41.1532,-8.65643,41.1532,-8.65643,0.0
1376756639620000681,20000681,41.1826,-8.59964,41.1826,-8.59964,0.0
1377079914620000632,20000632,41.1551,-8.63055,41.1551,-8.63055,0.0
1377202628620000080,20000080,41.1754,-8.62773,41.1754,-8.62773,0.0
1377274738620000036,20000036,41.1599,-8.66,41.1599,-8.66,0.0
1377275494620000036,20000036,41.1599,-8.66001,41.1599,-8.66001,0.0
1377402795620000042,20000042,41.1647,-8.61062,41.1647,-8.61062,0.0
1377531869620000431,20000431,41.181,-8.62024,41.181,-8.62024,0.0
1377604628620000521,20000521,41.1479,-8.60869,41.1479,-8.60869,0.0
1382115823620000040,20000040,41.1494,-8.61105,41.1494,-8.61105,0.0
1382446820620000045,20000045,41.1447,-8.60652,41.1447,-8.60652,0.0
1382624175620000163,20000163,41.1535,-8.61142,41.1535,-8.61142,0.0
1382636379620000617,20000617,41.1438,-8.60233,41.1438,-8.60233,0.0
1382759480620000687,20000687,41.184,-8.55846,41.184,-8.55846,0.0
1383136970620000513,20000513,41.228,-8.54054,41.228,-8.54054,0.0
1383325315620000681,20000681,41.1407,-8.61551,41.1407,-8.61551,0.0
1383354285620000305,20000305,41.1407,-8.61553,41.1407,-8.61553,0.0
1383357134620000140,20000140,41.1461,-8.61763,41.1461,-8.61763,0.0
1383836028620000058,20000058,41.1576,-8.62768,41.1576,-8.62768,0.0
1384162911620000037,20000037,41.1597,-8.59219,41.1597,-8.59219,0.0
1384318253620000423,20000423,41.1594,-8.59122,41.1594,-8.59122,0.0
1384536282620000540,20000540,41.1827,-8.58215,41.1827,-8.58215,0.0
1384611977620000007,20000007,41.1728,-8.61224,41.1728,-8.61224,0.0
1384775431620000206,20000206,41.1595,-8.64071,41.1595,-8.64071,0.0
1384781401620000205,20000205,41.1503,-8.60214,41.1503,-8.60214,0.0
1385449329620000540,20000540,41.1784,-8.57896,41.1784,-8.57896,0.0
1385547859620000665,20000665,41.1518,-8.60968,41.1518,-8.60968,0.0
1385734460620000012,20000012,41.16,-8.67482,41.16,-8.67482,0.0
1385754853620000632,20000632,41.1427,-8.5747,41.1427,-8.5747,0.0
1386156702620000281,20000281,41.1428,-8.62026,41.1428,-8.62026,0.0
1386160269620000080,20000080,41.1602,-8.60441,41.1602,-8.60441,0.0
1386331208620000032,20000032,41.1484,-8.64879,41.1484,-8.64879,0.0
1386858221620000172,20000172,41.1543,-8.67459,41.1543,-8.67459,0.0
1395614452620000080,20000080,41.1567,-8.65461,41.1567,-8.65461,0.0
1395712142620000434,20000434,41.1447,-8.60647,41.1447,-8.60647,0.0
1395825380620000443,20000443,41.1446,-8.60659,41.1446,-8.60659,0.0
1395996972620000080,20000080,41.1627,-8.6108,41.1627,-8.6108,0.0
1396258379620000543,20000543,41.1693,-8.6036,41.1693,-8.6036,0.0
1396316422620000406,20000406,41.1827,-8.60017,41.1827,-8.60017,0.0
1396360055620000648,20000648,41.1613,-8.65705,41.1613,-8.65705,0.0
1396674816620000625,20000625,41.1621,-8.6713,41.1621,-8.6713,0.0
1396742660620000675,20000675,41.1467,-8.60525,41.1467,-8.60525,0.0
1397251581620000060,20000060,41.1737,-8.65724,41.1737,-8.65724,0.0
1397630416620000116,20000116,41.1826,-8.59968,41.1826,-8.59968,0.0
1397838107620000121,20000121,41.1498,-8.6059,41.1498,-8.6059,0.0
1398168776620000167,20000167,41.1696,-8.5893,41.1696,-8.5893,0.0
1398168788620000167,20000167,41.1696,-8.5893,41.1696,-8.5893,0.0
1398168798620000167,20000167,41.1696,-8.5893,41.1696,-8.5893,0.0
1398176701620000513,20000513,41.1827,-8.60009,41.1827,-8.60009,0.0
1398479186620000351,20000351,41.1469,-8.60593,41.1469,-8.60593,0.0
1398498637620000142,20000142,41.146,-8.6126,41.146,-8.6126,0.0
1398753890620000040,20000040,41.1603,-8.55279,41.1603,-8.55279,0.0
1398849010620000904,20000904,41.1454,-8.60755,41.1454,-8.60755,0.0
1399051936620000116,20000116,41.1446,-8.60653,41.1446,-8.60653,0.0
1399234465620000680,20000680,41.1488,-8.67276,41.1488,-8.67276,0.0
1399451378620000074,20000074,41.1644,-8.6459,41.1644,-8.6459,0.0
1399544363620000423,20000423,41.1446,-8.60657,41.1446,-8.60657,0.0
1377620100620000527,20000527,41.1681,-8.68933,41.1681,-8.68933,0.0
1377850890620000281,20000281,41.1489,-8.58583,41.1489,-8.58583,0.0
